segment,start_point,end_point,start_lon,start_lat,end_lon,end_lat,start_depth_m,end_depth_m,elev_change_m,length_m,length_km,cumulative_km_start,cumulative_km_end
1 -> 2,1,2,-3.1322222222222225,53.43527777777778,-3.1594444444444445,53.4525,0.0,-5.0,-5.0,2630.1605724844335,2.6301605724844337,0.0,2.6301605724844337
2 -> 3,2,3,-3.1594444444444445,53.4525,-3.2377777777777776,53.4575,-5.0,-10.0,-5.0,5216.277753585359,5.216277753585359,2.6301605724844337,7.8464383260697925
3 -> 4,3,4,-3.2377777777777776,53.4575,-3.381666666666667,53.5,-10.0,-15.0,-5.0,10630.003451752345,10.630003451752346,7.8464383260697925,18.47644177782214
4 -> 5,4,5,-3.381666666666667,53.5,-3.388888888888889,53.52444444444444,-15.0,-20.0,-5.0,2759.7302674661287,2.7597302674661286,18.47644177782214,21.236172045288267
5 -> 6,5,6,-3.388888888888889,53.52444444444444,-3.3852777777777776,53.540277777777774,-20.0,-20.0,0.0,1776.6888861582056,1.7766888861582055,21.236172045288267,23.012860931446472
6 -> 7,6,7,-3.3852777777777776,53.540277777777774,-3.3786111111111112,53.57361111111111,-20.0,-20.0,0.0,3732.5636851086397,3.73256368510864,23.012860931446472,26.745424616555113
7 -> 8,7,8,-3.3786111111111112,53.57361111111111,-3.3761111111111113,53.617222222222225,-20.0,-20.0,0.0,4852.139922226827,4.8521399222268276,26.745424616555113,31.59756453878194
8 -> 9,8,9,-3.3761111111111113,53.617222222222225,-3.3938888888888887,53.653055555555554,-20.0,-20.0,0.0,4153.302650984585,4.1533026509845845,31.59756453878194,35.750867189766524
9 -> 10,9,10,-3.3938888888888887,53.653055555555554,-3.418333333333333,53.69833333333333,-20.0,-25.0,-5.0,5285.844001956856,5.285844001956856,35.750867189766524,41.03671119172338
10 -> 11,10,11,-3.418333333333333,53.69833333333333,-3.4516666666666667,53.76138888888889,-25.0,-25.0,0.0,7346.335095932373,7.346335095932373,41.03671119172338,48.38304628765575
11 -> 12,11,12,-3.4516666666666667,53.76138888888889,-3.4575,53.772777777777776,-25.0,-20.0,5.0,1323.1487427804996,1.3231487427804995,48.38304628765575,49.70619503043625
12 -> 13,12,13,-3.4575,53.772777777777776,-3.4697222222222224,53.79555555555555,-20.0,-20.0,0.0,2657.008410309665,2.657008410309665,49.70619503043625,52.36320344074591
13 -> 14,13,14,-3.4697222222222224,53.79555555555555,-3.479166666666667,53.81333333333333,-20.0,-20.0,0.0,2071.798207004894,2.071798207004894,52.36320344074591,54.43500164775081
14 -> 15,14,15,-3.479166666666667,53.81333333333333,-3.4875000000000003,53.82638888888889,-20.0,-20.0,0.0,1551.349976929947,1.551349976929947,54.43500164775081,55.98635162468076
15 -> 16,15,16,-3.4875000000000003,53.82638888888889,-3.5716666666666663,53.845555555555556,-20.0,-25.0,-5.0,5919.641992819366,5.919641992819367,55.98635162468076,61.90599361750012
