x,y,z
491542.0581,5918507.0931,3
491515.5536000002,5918850.070499999,3
491515.4765999997,5918851.067600001,-1
491420.9389000004,5920074.4202,-1
491419.7467,5920089.3727,-1
491417.4685000004,5920115.272600001,-1
491414.81769999955,5920142.142000001,-1
491411.9910000004,5920167.9878,-1
491408.8956000004,5920193.8027,-1
491405.5318999998,5920219.584100001,-1
491401.90029999986,5920245.3291,-1
491398.0011999998,5920271.035,-1
491393.83490000013,5920296.698899999,-1
491389.2260999996,5920323.3025,-1
491384.33029999956,5920349.854800001,-1
491378.9506000001,5920377.332900001,-1
491373.4718000004,5920403.7711,-1
491367.7078999998,5920430.148600001,-1
491361.65940000024,5920456.462200001,-1
491355.32710000034,5920482.709000001,-1
491348.71169999987,5920508.8859,-1
491341.81400000025,5920534.989800001,-1
491334.6347000003,5920561.0177,-1
491326.8931999998,5920587.926100001,-1
491319.1431,5920613.789799999,-1
491311.1141999997,5920639.5682,-1
491302.80730000045,5920665.2585,-1
491294.2235000003,5920690.8575,-1
491285.36369999964,5920716.362299999,-1
491276.22890000045,5920741.77,-1
491266.8202999998,5920767.0776,-1
491257.13900000043,5920792.282,-1
491246.8121999996,5920818.3079,-1
491236.5787000004,5920843.293299999,-1
491226.07600000035,5920868.1667,-1
491215.3053000001,5920892.9252,-1
491204.26779999956,5920917.566,-1
491192.54110000003,5920942.991900001,-1
491180.9643000001,5920967.3839,-1
491169.12459999975,5920991.6493999995,-1
491157.0236999998,5921015.785700001,-1
491144.19990000036,5921040.6763,-1
491131.5708999997,5921064.5405,-1
491118.68489999976,5921088.267000001,-1
491105.54339999985,5921111.8528,-1
491093.6487999996,5921132.697899999,-1
491081.5547000002,5921153.4277,-1
491069.26209999993,5921174.0405,-1
491056.2474999996,5921195.3857,-1
491043.5532999998,5921215.7535999995,-1
491030.66420000046,5921235.9988,-1
491017.5812999997,5921256.119200001,-1
491003.74849999975,5921276.943499999,-1
490990.2737999996,5921296.8037,-1
490976.6090000002,5921316.533600001,-1
490962.75549999997,5921336.1314,-1
490948.1253000004,5921356.4034,-1
490933.8903000001,5921375.726,-1
490919.4704999998,5921394.911,-1
490904.2548000002,5921414.747199999,-1
490889.46169999987,5921433.6459,-1
490874.4879999999,5921452.401799999,-1
490858.69959999993,5921471.7853,-1
490843.36110000033,5921490.244000001,-1
490827.84609999973,5921508.5547,-1
490811.49849999975,5921527.4690000005,-1
490795.62760000024,5921545.472100001,-1
490779.5845999997,5921563.322000001,-1
490763.3710000003,5921581.017000001,-1
490738.7340000002,5921607.265699999,-1
490713.7215999998,5921633.157,-1
490713.0214999998,5921633.870999999,-2
490698.95969999954,5921648.093,-2
490681.2231999999,5921665.7115,-2
490662.59130000044,5921683.8456,-2
490644.49909999967,5921701.0986,-2
490626.2352,5921718.1698,-2
490610.7622999996,5921732.368000001,-2
490595.9157999996,5921745.7687,-2
490580.9626000002,5921759.0502,-2
490565.1479000002,5921772.866599999,-2
490188.6645999998,5922097.319,-2
490187.9071000004,5922097.9717999995,-3
490137.91060000006,5922141.0572,-3
490137.15309999976,5922141.710000001,-4
489649.3086000001,5922562.119100001,-4
489648.5510999998,5922562.7719,-5
489321.30140000023,5922844.7853999995,-5
489309.91060000006,5922854.5449,-5
489309.14910000004,5922855.1931,-6
489284.6458999999,5922875.7742,-6
489264.5444,5922892.2643,-6
489243.4894000003,5922909.1664,-6
489223.04289999977,5922925.226600001,-6
489202.43039999995,5922941.0734,-6
489181.65419999976,5922956.7049,-6
489160.7165999999,5922972.1195,-6
489139.61980000045,5922987.3156,-6
489118.3661000002,5923002.2914,-6
489096.1314000003,5923017.6084,-6
489074.56510000024,5923032.1303,-6
489052.8487999998,5923046.427100001,-6
489030.98510000017,5923060.497300001,-6
489008.9762000004,5923074.339400001,-6
488985.9698000001,5923088.470799999,-6
488963.6723999996,5923101.8432,-6
488941.2372000003,5923114.982999999,-6
488908.20430000033,5923133.765900001,-6
488891.5817,5923142.968599999,-6
488874.0092000002,5923152.5188,-6
488857.24509999994,5923161.460999999,-6
488839.5258999998,5923170.736,-6
488805.6573000001,5923187.966499999,-6
488788.6257999996,5923196.3883,-6
488770.62930000015,5923205.1131,-6
488736.2461000001,5923221.2925,-6
488701.6211000001,5923236.9475,-6
488683.30289999954,5923244.975,-6
488665.8415999999,5923252.4651999995,-6
488648.324,5923259.8225,-6
488629.8245000001,5923267.423,-6
488594.51049999986,5923281.455,-6
488558.9874,5923294.9487,-6
488541.1500000004,5923301.492699999,-6
488522.3205000004,5923308.2344,-6
488501.5466,5923315.476,-6
488480.7098000003,5923322.534600001,-6
488479.7611999996,5923322.8511,-7
488456.95720000006,5923330.332800001,-7
488436.94570000004,5923336.6994,-7
488416.88129999954,5923342.897700001,-7
488396.7655999996,5923348.927200001,-7
488376.5998999998,5923354.787599999,-7
488339.9874,5923364.9607,-7
488321.6242000004,5923369.838300001,-7
488302.2549999999,5923374.821599999,-7
488265.3465,5923383.862400001,-7
488246.8417999996,5923388.1722,-7
488227.3284,5923392.556700001,-7
488190.159,5923400.456599999,-7
488170.5491000004,5923404.3872,-7
488151.89109999966,5923407.9759,-7
488114.4961000001,5923414.727499999,-7
488094.7745000003,5923418.0524,-7
488076.0148,5923421.0648,-7
488056.24370000046,5923424.081700001,-7
488037.43939999957,5923426.801100001,-7
487999.77139999997,5923431.810799999,-7
487979.9167999998,5923434.2173999995,-7
487961.0377000002,5923436.3564,-7
487923.23330000043,5923440.2038,-7
487885.37480000034,5923443.4761,-7
487847.4709999999,5923446.172700001,-7
487827.50629999954,5923447.360400001,-7
487808.53170000017,5923448.3407000005,-7
487770.5628000004,5923449.8686999995,-7
487734.57469999976,5923450.7838,-7
487697.5772000002,5923451.1842,-7
487660.5778999999,5923451.0370000005,-7
487623.58469999954,5923450.3422,-7
487097.7720999997,5923436.3036,-7
487096.77249999996,5923436.276900001,-8
485437.3638000004,5923391.9716,-8
485436.3641999997,5923391.9449000005,-9
484330.75820000004,5923362.425799999,-9
484329.75850000046,5923362.3991,-10
483776.95550000016,5923347.6395,-10
483775.9559000004,5923347.6128,-11
483501.0537999999,5923340.2731,-11
483500.05420000013,5923340.2464000005,-12
482947.2511999998,5923325.4869,-12
482946.2516000001,5923325.460200001,-13
482394.44820000045,5923310.727299999,-13
482393.44859999977,5923310.7006,-14
482117.5469000004,5923303.3342,-14
482116.5471999999,5923303.307499999,-15
480652.06909999996,5923264.207,-15
480625.0751,5923263.6456,-15
480598.07660000026,5923263.3758000005,-15
480569.0767999999,5923263.410800001,-15
480541.07909999974,5923263.763699999,-15
480513.08719999995,5923264.430199999,-15
480485.10450000037,5923265.4102,-15
480457.1344999997,5923266.703500001,-15
480456.1359000001,5923266.7555,-14
480436.16750000045,5923267.879000001,-14
480417.2065000003,5923269.0943,-14
480397.2581000002,5923270.529200001,-14
480377.32180000003,5923272.1236000005,-14
480348.4382999996,5923274.718699999,-14
480320.58110000007,5923277.542099999,-14
480292.75739999954,5923280.677200001,-14
480264.9704999998,5923284.1238,-14
480244.15660000034,5923286.912900001,-14
480223.36679999996,5923289.876700001,-14
480202.6026999997,5923293.015000001,-14
480180.8788999999,5923296.489700001,-14
480179.89219999965,5923296.6522,-13
480158.20129999984,5923300.3266,-13
480131.6261,5923305.0967999995,-13
480104.1228,5923310.3465,-13
480076.6799999997,5923315.903899999,-13
480049.30119999964,5923321.768300001,-13
480022.9639999997,5923327.713300001,-13
479995.72080000024,5923334.1786,-13
479969.5207000002,5923340.7015,-13
479942.4263000004,5923347.7645,-13
479923.12239999976,5923352.995100001,-13
479903.86099999957,5923358.379899999,-13
479902.89910000004,5923358.6532000005,-12
479871.2176000001,5923367.8872,-12
479838.7065000003,5923377.8375,-12
479812.0362,5923386.363299999,-12
479785.4631000003,5923395.1872000005,-12
479758.0469000004,5923404.6394,-12
479731.6819000002,5923414.0669,-12
479701.6819000002,5923425.2019,-12
479671.8269999996,5923436.720000001,-12
479642.1218999997,5923448.6193,-12
479612.5714999996,5923460.8978,-12
479583.1807000004,5923473.5535,-12
479553.95430000033,5923486.5844,-12
479524.8970999997,5923499.988299999,-12
479496.01379999984,5923513.7631,-12
479466.4151999997,5923528.3542,-12
479437.8997999998,5923542.8752,-12
479409.5725999996,5923557.76,-12
479381.43819999974,5923573.006100001,-12
479351.7619000003,5923589.598200001,-12
479350.8925000001,5923590.0923,-11
479341.34219999984,5923595.5504,-11
479324.0398000004,5923605.581700001,-11
479306.8183000004,5923615.7511,-11
479289.6786000002,5923626.0579,-11
479272.62200000044,5923636.501499999,-11
479245.5066999998,5923653.494100001,-11
479218.61120000016,5923670.8323,-11
479191.9397,5923688.5134,-11
479165.49679999985,5923706.534399999,-11
479139.28670000006,5923724.8925,-11
479113.3136999998,5923743.5845,-11
479087.58210000023,5923762.6074,-11
479062.88879999984,5923781.3484000005,-11
479037.64470000006,5923801.013699999,-11
479012.65440000035,5923821.000399999,-11
478987.9219000004,5923841.305400001,-11
478963.45139999967,5923861.9252,-11
478939.24679999985,5923882.8566,-11
478915.31209999975,5923904.096100001,-11
478891.6512000002,5923925.6402,-11
478868.26800000016,5923947.485400001,-11
478846.6019000001,5923968.2356,-11
478825.17899999954,5923989.2368,-11
478824.46729999967,5923989.939300001,-12
478249.4315999998,5924557.563999999,-12
478248.7198999999,5924558.2665,-13
477881.4940999998,5924920.7596,-13
477880.7823999999,5924921.462099999,-14
477423.88520000037,5925372.470899999,-14
477423.17349999957,5925373.1734,-15
476937.8092,5925852.282400001,-15
476937.09750000015,5925852.9849,-14
476934.2507999996,5925855.795,-14
476873.0465000002,5925916.2105,-14
476872.3348000003,5925916.913000001,-15
476465.96669999976,5926318.0438,-15
476465.2549999999,5926318.746300001,-14
476332.17119999975,5926450.1149,-14
476047.50009999983,5926731.1173,-14
476046.78839999996,5926731.819800001,-15
475994.1242000004,5926783.805299999,-15
475993.4126000004,5926784.5078,-14
475861.75210000016,5926914.4713,-14
475772.7923999997,5927002.284600001,-14
475772.0806999998,5927002.9871,-15
475521.5701000001,5927250.269200001,-15
475520.85840000026,5927250.9717,-14
475497.37310000043,5927274.1544,-14
475496.66139999963,5927274.856899999,-15
474947.2460000003,5927817.191400001,-15
474946.5343000004,5927817.8939,-16
474867.5393000003,5927895.873299999,-16
474848.4495000001,5927914.9671,-16
474822.6264000004,5927941.4651,-16
474797.88040000014,5927967.611099999,-16
