x,y,z
491542.0581,5918507.0931,3.0
491541.98110000044,5918508.0901,3.0
491541.9040000001,5918509.087200001,3.0
491541.8269999996,5918510.0842,3.0
491541.74990000017,5918511.0812,3.0
491541.67289999966,5918512.078199999,3.0
491541.59580000024,5918513.075300001,3.0
491541.5187999997,5918514.0723,3.0
491541.4417000003,5918515.0693,3.0
491541.3646999998,5918516.066299999,3.0
491541.2876000004,5918517.0634,3.0
491541.2105999999,5918518.0604,3.0
491541.13350000046,5918519.057399999,3.0
491541.05649999995,5918520.054500001,3.0
491540.9793999996,5918521.0515,3.0
491540.9024,5918522.0485,3.0
491540.8252999997,5918523.045499999,3.0
491540.7483000001,5918524.0426,3.0
491540.67119999975,5918525.0396,3.0
491540.59420000017,5918526.036599999,3.0
491540.5170999998,5918527.033600001,3.0
491540.44010000024,5918528.0307,3.0
491540.3629999999,5918529.0276999995,3.0
491540.2860000003,5918530.024700001,3.0
491540.2089999998,5918531.0218,3.0
491540.1319000004,5918532.0188,3.0
491540.0548999999,5918533.015799999,3.0
491539.97780000046,5918534.012800001,3.0
491539.90079999994,5918535.0099,3.0
491539.8236999996,5918536.006899999,3.0
491539.7467,5918537.003900001,3.0
491539.6695999997,5918538.0009,3.0
491539.5926000001,5918538.998,3.0
491539.51549999975,5918539.994999999,3.0
491539.43850000016,5918540.992000001,3.0
491539.3613999998,5918541.9891,3.0
491539.28440000024,5918542.986099999,3.0
491539.2072999999,5918543.983100001,3.0
491539.1303000003,5918544.9801,3.0
491539.05319999997,5918545.9772,3.0
491538.9762000004,5918546.974199999,3.0
491538.89910000004,5918547.9712000005,3.0
491538.82210000046,5918548.9683,3.0
491538.7450000001,5918549.965299999,3.0
491538.6679999996,5918550.962300001,3.0
491538.5909000002,5918551.9593,3.0
491538.51389999967,5918552.9564,3.0
491538.4369000001,5918553.953400001,3.0
491538.35979999974,5918554.9504,3.0
491538.28280000016,5918555.9474,3.0
491538.2056999998,5918556.944499999,3.0
491538.12870000023,5918557.941500001,3.0
491538.0515999999,5918558.9385,3.0
491537.9746000003,5918559.9355999995,3.0
491537.89749999996,5918560.932600001,3.0
491537.8205000004,5918561.9296,3.0
491537.74340000004,5918562.9266,3.0
491537.66640000045,5918563.923699999,3.0
491537.5893000001,5918564.920700001,3.0
491537.5122999996,5918565.9177,3.0
491537.4352000002,5918566.9147,3.0
491537.35819999967,5918567.911800001,3.0
491537.28110000025,5918568.9088,3.0
491537.20409999974,5918569.9058,3.0
491537.1270000003,5918570.902899999,3.0
491537.0499999998,5918571.899900001,3.0
491536.9729000004,5918572.8969,3.0
491536.8958999999,5918573.8939,3.0
491536.81879999954,5918574.891000001,3.0
491536.74179999996,5918575.888,3.0
491536.6648000004,5918576.885,3.0
491536.58770000003,5918577.881999999,3.0
491536.51070000045,5918578.8791000005,3.0
491536.4336000001,5918579.8761,3.0
491536.3565999996,5918580.8730999995,3.0
491536.2795000002,5918581.870200001,3.0
491536.20249999966,5918582.8672,3.0
491536.12540000025,5918583.8642,3.0
491536.04839999974,5918584.861199999,3.0
491535.9713000003,5918585.8583,3.0
491535.8942999998,5918586.8553,3.0
491535.8172000004,5918587.852299999,3.0
491535.7401999999,5918588.849300001,3.0
491535.66309999954,5918589.8464,3.0
491535.58609999996,5918590.8434,3.0
491535.5089999996,5918591.840399999,3.0
491535.43200000003,5918592.8375,3.0
491535.3548999997,5918593.8345,3.0
491535.2779000001,5918594.831499999,3.0
491535.20079999976,5918595.828500001,3.0
491535.1238000002,5918596.8256,3.0
491535.04669999983,5918597.8226,3.0
491534.96970000025,5918598.819599999,3.0
491534.89269999973,5918599.8166000005,3.0
491534.8156000003,5918600.8137,3.0
491534.7385999998,5918601.810699999,3.0
491534.6615000004,5918602.807700001,3.0
491534.5844999999,5918603.8048,3.0
491534.50739999954,5918604.8018,3.0
491534.43039999995,5918605.798800001,3.0
491534.3532999996,5918606.7958,3.0
491534.2763,5918607.7929,3.0
491534.1991999997,5918608.789899999,3.0
491534.1222000001,5918609.786900001,3.0
491534.04509999976,5918610.7839,3.0
491533.9681000002,5918611.7809999995,3.0
491533.8909999998,5918612.778000001,3.0
491533.81400000025,5918613.775,3.0
491533.7368999999,5918614.7721,3.0
491533.6599000003,5918615.769099999,3.0
491533.5828,5918616.766100001,3.0
491533.5058000004,5918617.7631,3.0
491533.42870000005,5918618.760199999,3.0
491533.35170000046,5918619.757200001,3.0
491533.2746000001,5918620.7542,3.0
491533.1975999996,5918621.7513,3.0
491533.1206,5918622.748299999,3.0
491533.0434999997,5918623.7453000005,3.0
491532.9665000001,5918624.7423,3.0
491532.88939999975,5918625.739399999,3.0
491532.81240000017,5918626.736400001,3.0
491532.7352999998,5918627.7334,3.0
491532.65830000024,5918628.7304,3.0
491532.5811999999,5918629.727499999,3.0
491532.5042000003,5918630.7245000005,3.0
491532.4271,5918631.7215,3.0
491532.3501000004,5918632.718599999,3.0
491532.27300000004,5918633.715600001,3.0
491532.19600000046,5918634.7126,3.0
491532.1189000001,5918635.7096,3.0
491532.0418999996,5918636.706700001,3.0
491531.9648000002,5918637.7037,3.0
491531.8877999997,5918638.7007,3.0
491531.81070000026,5918639.697699999,3.0
491531.73369999975,5918640.694800001,3.0
491531.65660000034,5918641.6918,3.0
491531.5795999998,5918642.6888,3.0
491531.5025000004,5918643.685900001,3.0
491531.4254999999,5918644.6829,3.0
491531.34839999955,5918645.6799,3.0
491531.27139999997,5918646.676899999,3.0
491531.1944000004,5918647.674000001,3.0
491531.11730000004,5918648.671,3.0
491531.04030000046,5918649.668,3.0
491530.9632000001,5918650.664999999,3.0
491530.8861999996,5918651.6621,3.0
491530.8091000002,5918652.6591,3.0
491530.7320999997,5918653.656099999,3.0
491530.65500000026,5918654.6532000005,3.0
491530.57799999975,5918655.6502,3.0
491530.50090000033,5918656.6472,3.0
491530.4238999998,5918657.644200001,3.0
491530.3468000004,5918658.6413,3.0
491530.2697999999,5918659.6383,3.0
491530.19269999955,5918660.635299999,3.0
491530.11569999997,5918661.632300001,3.0
491530.0385999996,5918662.6294,3.0
491529.96160000004,5918663.6263999995,3.0
491529.8844999997,5918664.623400001,3.0
491529.8075000001,5918665.6205,3.0
491529.73039999977,5918666.6175,3.0
491529.6534000002,5918667.614499999,3.0
491529.57629999984,5918668.611500001,3.0
491529.49930000026,5918669.6086,3.0
491529.42229999974,5918670.605599999,3.0
491529.34520000033,5918671.602600001,3.0
491529.2681999998,5918672.5996,3.0
491529.1911000004,5918673.5967,3.0
491529.1140999999,5918674.593699999,3.0
491529.03699999955,5918675.5907000005,3.0
491528.95999999996,5918676.5878,3.0
491528.8828999996,5918677.584799999,3.0
491528.80590000004,5918678.581800001,3.0
491528.7287999997,5918679.5788,3.0
491528.6518000001,5918680.5759,3.0
491528.57469999976,5918681.572899999,3.0
491528.4977000002,5918682.5699000005,3.0
491528.42059999984,5918683.5669,3.0
491528.34360000025,5918684.563999999,3.0
491528.2664999999,5918685.561000001,3.0
491528.1895000003,5918686.558,3.0
491528.1124,5918687.5550999995,3.0
491528.0354000004,5918688.552100001,3.0
491527.95830000006,5918689.5491,3.0
491527.88129999954,5918690.5461,3.0
491527.80420000013,5918691.543199999,3.0
491527.7271999996,5918692.540200001,3.0
491527.65020000003,5918693.5372,3.0
491527.5730999997,5918694.5342999995,3.0
491527.4961000001,5918695.531300001,3.0
491527.41899999976,5918696.5283,3.0
491527.3420000002,5918697.5253,3.0
491527.26489999983,5918698.522399999,3.0
491527.18790000025,5918699.519400001,3.0
491527.1107999999,5918700.5164,3.0
491527.0338000003,5918701.5134,3.0
491526.9567,5918702.510500001,3.0
491526.8797000004,5918703.5075,3.0
491526.80260000005,5918704.5045,3.0
491526.72559999954,5918705.501599999,3.0
491526.6485000001,5918706.4986000005,3.0
491526.5714999996,5918707.4956,3.0
491526.4944000002,5918708.4925999995,3.0
491526.4173999997,5918709.489700001,3.0
491526.3403000003,5918710.4867,3.0
491526.26329999976,5918711.4837,3.0
491526.18620000035,5918712.480699999,3.0
491526.10919999983,5918713.4778,3.0
491526.0321000004,5918714.4748,3.0
491525.9550999999,5918715.4717999995,3.0
491525.8781000003,5918716.468900001,3.0
491525.801,5918717.4659,3.0
491525.7240000004,5918718.4629,3.0
491525.64690000005,5918719.459899999,3.0
491525.56989999954,5918720.457,3.0
491525.4928000001,5918721.454,3.0
491525.4157999996,5918722.450999999,3.0
491525.3387000002,5918723.448000001,3.0
491525.2616999997,5918724.4451,3.0
491525.18460000027,5918725.4421,3.0
491525.10759999976,5918726.439099999,3.0
491525.03050000034,5918727.4362,3.0
491524.9534999998,5918728.4332,3.0
491524.8764000004,5918729.430199999,3.0
491524.7993999999,5918730.427200001,3.0
491524.72229999956,5918731.4243,3.0
491524.6453,5918732.4213,3.0
491524.56819999963,5918733.418299999,3.0
491524.49120000005,5918734.4153,3.0
491524.4140999997,5918735.4124,3.0
491524.3371000001,5918736.409399999,3.0
491524.2599999998,5918737.406400001,3.0
491524.1830000002,5918738.4035,3.0
491524.1059999997,5918739.4004999995,3.0
491524.02890000027,5918740.397500001,3.0
491523.95189999975,5918741.3945,3.0
491523.87480000034,5918742.3916,3.0
491523.7977999998,5918743.388599999,3.0
491523.7207000004,5918744.385600001,3.0
491523.6436999999,5918745.3826,3.0
491523.56659999955,5918746.3796999995,3.0
491523.4896,5918747.376700001,3.0
491523.4124999996,5918748.3737,3.0
491523.33550000004,5918749.3708,3.0
491523.2583999997,5918750.367799999,3.0
491523.1814000001,5918751.364800001,3.0
491523.1042999998,5918752.3618,3.0
491523.0273000002,5918753.358899999,3.0
491522.95019999985,5918754.355900001,3.0
491522.87320000026,5918755.3529,3.0
491522.7960999999,5918756.3499,3.0
491522.71910000034,5918757.346999999,3.0
491522.642,5918758.3440000005,3.0
491522.5650000004,5918759.341,3.0
491522.48790000007,5918760.338099999,3.0
491522.41089999955,5918761.335100001,3.0
491522.33389999997,5918762.3321,3.0
491522.2567999996,5918763.3291,3.0
491522.17980000004,5918764.326199999,3.0
491522.1026999997,5918765.3232,3.0
491522.0257000001,5918766.3202,3.0
491521.94859999977,5918767.317299999,3.0
491521.8716000002,5918768.314300001,3.0
491521.79449999984,5918769.3113,3.0
491521.71750000026,5918770.3083,3.0
491521.6403999999,5918771.305400001,3.0
491521.56340000033,5918772.3024,3.0
491521.4863,5918773.2994,3.0
491521.4093000004,5918774.296399999,3.0
491521.33220000006,5918775.293500001,3.0
491521.25519999955,5918776.2905,3.0
491521.17810000014,5918777.2875,3.0
491521.1010999996,5918778.284600001,3.0
491521.0240000002,5918779.2816,3.0
491520.9469999997,5918780.2786,3.0
491520.8699000003,5918781.275599999,3.0
491520.79289999977,5918782.272700001,3.0
491520.71580000035,5918783.2697,3.0
491520.63879999984,5918784.2667,3.0
491520.56180000026,5918785.263699999,3.0
491520.4846999999,5918786.2608,3.0
491520.40770000033,5918787.2578,3.0
491520.3306,5918788.254799999,3.0
491520.2536000004,5918789.2519000005,3.0
491520.17650000006,5918790.2489,3.0
491520.09949999955,5918791.2458999995,3.0
491520.02240000013,5918792.242900001,3.0
491519.9453999996,5918793.24,3.0
491519.8683000002,5918794.237,3.0
